title,id,activity,status
identify cross builds by a more generic environment setting.,28125,2019-12-10.08:14:17,1
Use pkg-config to find dependencies,28207,2019-12-10.08:13:29,1
document cross compilation,28542,2019-12-10.08:13:06,1
Cannot override some flags in CFLAGS from the command-line,29267,2019-12-10.08:12:47,1
setup.py: do not add system header locations when cross compiling,20211,2019-12-10.08:12:27,1
the first build after a change to Makefile.pre.in uses the old Makefile,32461,2019-12-10.08:11:17,2
[ctypes] all long double tests fail on android-24-x86_64,32202,2019-12-10.08:10:28,1
[ctypes] test_struct_by_value fails on android-24-arm64,32203,2019-12-10.08:10:02,1
android: add platform.android_ver(),26855,2019-12-10.08:09:38,1
readline-related test_builtin failure,13886,2019-12-10.08:09:02,1
add the '--enable-sourceless-distribution' option to configure,26852,2019-12-10.08:08:26,1
crosscompilation fails with clang on android,35953,2019-12-10.08:07:33,1
"ImportError: dlopen failed: cannot locate symbol ""PyBool_Type""",35997,2019-12-10.08:07:15,1
configure: error: could not find pthreads on your system during cross compilation,36141,2019-12-10.08:06:49,1
"android arm cross compilation fails, config issue",36145,2019-12-10.08:06:27,1
add the '--disable-test-suite' option to configure,27640,2019-12-10.08:06:04,1
Cannot cross-compile to more featureful but same tune,36125,2019-12-10.08:05:39,1
AC_RUN_IFELSE macros not used as arguments of AC_CACHE_VAL et al,36214,2019-12-10.08:05:10,2
the ipv6type variable in configure.ac may be set incorrectly when cross-compiling,36351,2019-12-10.08:04:07,1
generate correct pyconfig.h when cross-compiling,36361,2019-12-10.08:03:47,1
Cross-build _curses failed if host ncurses headers and target ncurses headers have different layouts,28190,2019-12-10.08:03:17,1
cross compilation of third-party extension modules,28833,2019-12-10.08:01:23,1
Unix-only crypt should not be present on Windows.,25172,2019-12-10.07:56:18,1
test_timestamp_naive fails on android,38849,2019-12-10.07:55:45,2
test_largefile fails on android,38850,2019-12-10.07:55:10,1
UDPLITE tests fail on android,38851,2019-12-10.07:54:29,1
compileall fails when the platform lacks a functional  sem_open(),38848,2019-12-10.07:53:59,1
incorrect __all__ list in multiprocessing.managers module,38840,2019-12-10.07:52:54,1
